BSE/BOM533022,20 Microns Ltd
BSE/BOM530707,Aftek Ltd
BSE/BOM531921,Agarwal Industrial Corporation Ltd
BSE/BOM500463,Agc Networks Ltd
BSE/BOM539042,Agi Infra Ltd
BSE/BOM516020,Agio Paper & Industries Ltd
NSE/AGRE,Agre Developers Ltd
BSE/BOM537292,Agri- Tech (india) Ltd
NSE/AGRITECH,Agri-Tech (India) Ltd
BSE/BOM537492,Agrimony Commodities Ltd
BSE/BOM519281,Agro Dutch Industries Ltd
BSE/BOM500215,Agro Tech Foods Ltd
BSE/BOM524448,Ahlcon Parenterals (india) Ltd
BSE/BOM532811,Ahluwalia Contracts (india) Ltd
BSE/BOM522273,Ahmedabad Steelcraft Ltd
NSE/AHMEDFORGE,Ahmednagar Forgings Ltd
BSE/BOM532806,Ai Champdany Industries Ltd
BSE/BOM532683,Aia Engineering Ltd
BSE/BOM506822,Aikyam Intellectual Property Consultancy Ltd
BSE/BOM524288,Aimco Pesticides Ltd
BSE/BOM532975,Aishwarya Telecom Ltd
BSE/BOM532331,Ajanta Pharma Ltd
BSE/BOM519216,Ajanta Soya Ltd
BSE/BOM511692,Ajcon Global Services Ltd
BSE/BOM530713,Ajel Ltd
BSE/BOM513349,Ajmera Realty & Infra India Ltd
BSE/BOM526628,Ajwa Fun World & Resort Ltd
BSE/BOM530621,Akar Tools Ltd
BSE/BOM538778,Akashdeep Metal Industries Ltd
BSE/BOM539017,Akme Star Housing Finance Ltd
BSE/BOM532351,Aksh Optifibre Ltd
BSE/BOM524598,Aksharchem (india) Ltd
BSE/BOM500710,Akzo Nobel India Ltd
BSE/BOM535916,Alacrity Securities Ltd
BSE/BOM539115,Alan Scott Industries Ltd
BSE/BOM531517,Alang Industrial Gases Ltd
BSE/BOM531082,Alankit Ltd
NSE/ALBERTDAVD,Albert David Ltd
BSE/BOM531409,Alchemist Corporation Ltd
BSE/BOM526707,Alchemist Ltd
BSE/BOM532114,Alchemist Realty Ltd
BSE/BOM506235,Alembic Ltd
BSE/BOM533573,Alembic Pharmaceuticals Ltd
BSE/BOM530973,Alfa Ica (india) Ltd
NSE/ALFALAVAL,Alfa Laval (India) Ltd
BSE/BOM517546,Alfa Transformers Ltd
BSE/BOM531156,Alfavision Overseas (india) Ltd
BSE/BOM505216,Alfred Herbert (india) Ltd
BSE/BOM531147,Alicon Castalloy Ltd
BSE/BOM531581,Alka Diamond Industries Ltd
BSE/BOM530889,Alka India Ltd
BSE/BOM532166,Alka Securities Ltd
BSE/BOM533029,Alkali Metals Ltd
NSE/ALKEM,Alkem Laboratories Ltd
NSE/ALKYLAMINE,Alkyl Amines Chemicals Ltd
BSE/BOM532480,Allahabad Bank
BSE/BOM532749,Allcargo Logistics Ltd
BSE/BOM534064,Alliance Integrated Metaliks Ltd
BSE/BOM532919,Allied Computers International (asia) Ltd
BSE/BOM532875,Allied Digital Services Ltd
BSE/BOM532633,Allsec Technologies Ltd
BSE/BOM531400,Almondz Global Securities Ltd
BSE/BOM506120,Alna Trading & Exports Ltd
BSE/BOM521070,Alok Industries Ltd
BSE/BOM532878,Alpa Laboratories Ltd
BSE/BOM531720,Alpha Graphic India Ltd
BSE/BOM531247,Alpha Hi-tech Fuel Ltd
NSE/ALPHAGEO,Alphageo (India) Ltd
BSE/BOM526519,Alpine Housing Development Corporation Ltd
BSE/BOM530715,Alps Industries Ltd
NSE/AIL,Alstom India Ltd
NSE/APIL,Alstom Projects India Ltd
NSE/ALSTOMTD,Alstom T&D India Ltd
BSE/BOM539277,Alstone Textiles (india) Ltd
BSE/BOM524634,Alufluoride Ltd
BSE/BOM506597,Amal Ltd
BSE/BOM501622,Amalgamated Electricity Coltd
BSE/BOM512008,Amani Trading & Exports Ltd
BSE/BOM532664,Amar Remedies Ltd
BSE/BOM500008,Amara Raja Batteries Ltd
BSE/BOM521097,Amarjothi Spinning Mills Ltd
BSE/BOM538465,Amarnath Securities Ltd
BSE/BOM539196,Amba Enterprises Ltd
BSE/BOM500009,Ambalal Sarabhai Enterprises Ltd
BSE/BOM532335,Ambica Agarbathies & Aroma Industries Ltd
BSE/BOM531978,Ambika Cotton Mills Ltd
BSE/BOM539223,Ambition Mica Ltd
BSE/BOM526439,Ambitious Plastomac Company Ltd
BSE/BOM500425,Ambuja Cements Ltd
BSE/BOM530133,Amco India Ltd
BSE/BOM532828,Amd Industries Ltd
BSE/BOM513117,Amforge Industries Ltd
BSE/BOM506248,Amines & Plasticizers Ltd
BSE/BOM531300,Amit International Ltd
BSE/BOM531557,Amit Securities Ltd
BSE/BOM521076,Amit Spinning Industries Ltd
NSE/AMLSTEEL,AML Steel Ltd
BSE/BOM531681,Amradeep Industries Ltd
BSE/BOM536737,Amrapali Capital And Finance Services Ltd
BSE/BOM539265,Amrapali Fincap Ltd
BSE/BOM526241,Amrapali Industries Ltd
BSE/BOM531991,Amraworld Agrico Ltd
BSE/BOM507525,Amrit Corpltd
NSE/AMRUTANJAN,Amrutanjan Health Care Ltd
BSE/BOM538861,Amsons Apparels Ltd
NSE/AMTEKAUTO,Amtek Auto Ltd
NSE/AMTEKINDIA,Amtek India Ltd
BSE/BOM531761,Amulya Leasing & Finance Ltd
BSE/BOM531678,Anand Credit Ltd
BSE/BOM501630,Anand Projects Ltd
NSE/ANANTRAJ,Anant Raj Ltd
BSE/BOM526833,Ananthi Constructions Ltd
BSE/BOM531127,Anar Industries Ltd
BSE/BOM532418,Andhra Bank
BSE/BOM532141,Andhra Cements Ltd
BSE/BOM500012,Andhra Petrochemicals Ltd
BSE/BOM590062,Andhra Sugars Ltd
BSE/BOM526173,Andrew Yule & Company Ltd
BSE/BOM530721,Ang Industries Ltd
BSE/BOM519383,Anik Industries Ltd
BSE/BOM532910,Anil Ltd
BSE/BOM504629,Anil Special Steel Industries Ltd
BSE/BOM537785,Anisha Impex Ltd
BSE/BOM531878,Anjani Finance Ltd
BSE/BOM511153,Anjani Foods Ltd
BSE/BOM518091,Anjani Portland Cement Ltd
BSE/BOM531223,Anjani Synthetics Ltd
BSE/BOM531673,Anka India Ltd
BSE/BOM532870,Ankit Metal & Power Ltd
NSE/ANKURDRUGS,Ankur Drugs And Pharma Ltd
BSE/BOM531519,Ankush Finstock Ltd
BSE/BOM530799,Anna Infrastructures Ltd
BSE/BOM531406,Ans Industries Ltd
BSE/BOM523007,Ansal Buildwell Ltd
BSE/BOM507828,Ansal Housing & Construction Ltd
NSE/ANSALHSG,Ansal Housing and Construction Ltd
BSE/BOM500013,Ansal Properties & Infrastructure Ltd
BSE/BOM512091,Anshuni Commercials Ltd
BSE/BOM534707,Anshus Clothing Ltd
NSE/ANTGRAPHIC,Antarctica Ltd
BSE/BOM532981,Anu's Laboratories Ltd
BSE/BOM538833,Anubhav Infrastructure Ltd
BSE/BOM506260,Anuh Pharma Ltd
BSE/BOM512355,Anukaran Commercial Enterprises Ltd
BSE/BOM506087,Anup Malleable Ltd
BSE/BOM532259,Apar Industries Ltd
BSE/BOM523694,Apcotex Industries Ltd
BSE/BOM506166,Apis India Ltd
BSE/BOM533758,Apl Apollo Tubes Ltd
NSE/APLAB,Aplab Ltd
BSE/BOM511064,Aplaya Creations Ltd
BSE/BOM523537,Apm Industries Ltd
BSE/BOM512437,Apollo Finvest (india) Ltd
BSE/BOM508869,Apollo Hospitals Enterprise Ltd
NSE/APOLSINHOT,Apollo Sindoori Hotels Ltd
BSE/BOM500877,Apollo Tyres Ltd
BSE/BOM500014,Apple Finance Ltd
BSE/BOM538653,Appu Marketing & Manufacturing Ltd
BSE/BOM507265,Apte Amalgamations Ltd
BSE/BOM532475,Aptech Ltd
BSE/BOM535790,Aptechbbph
BSE/BOM533159,Aqua Logistics Ltd
BSE/BOM531364,Aqua Pumps Infra Ventures Ltd
BSE/BOM539403,Arambhan Hospitality Services Ltd
BSE/BOM532068,Aramusk Infrastructure Investments Ltd
BSE/BOM512344,Aravali Securities & Finance Ltd
BSE/BOM520121,Arcee Industries Ltd
BSE/BOM530565,Archana Software Ltd
BSE/BOM532994,Archidply Industries Ltd
BSE/BOM532212,Archies Ltd
BSE/BOM524640,Archit Organosys Ltd
BSE/BOM511038,Arco Leasing Ltd
BSE/BOM532914,Arcotech Ltd
BSE/BOM530261,Arcuttipore Tea Coltd
BSE/BOM504370,Ardi Investment & Trading Ltd
BSE/BOM526851,Arex Industries Ltd
BSE/BOM539151,Arfin India Ltd
BSE/BOM509110,Ari Consolidated Investments Ltd
BSE/BOM532935,Aries Agro Ltd
BSE/BOM531553,Arihant Avenues & Credit Ltd
BSE/BOM511605,Arihant Capital Markets Ltd
NSE/ARIHANT,Arihant Foundations & Housing Ltd
BSE/BOM506194,Arihant Superstructures Ltd
BSE/BOM526125,Arihant Tournesol Ltd
BSE/BOM531017,Arihant's Securities Ltd
BSE/BOM531677,Aris International Ltd
BSE/BOM531179,Arman Financial Services Ltd
BSE/BOM538556,Arman Holdings Ltd
BSE/BOM532397,Arms Paper Ltd
BSE/BOM531467,Arnav Corporation Ltd
BSE/BOM537069,Arnold Holdings Ltd
NSE/AROGRANITE,Aro Granite Industries Ltd
BSE/BOM531560,Aroma Enterprises (india) Ltd
BSE/BOM512273,Aroni Commercials Ltd
BSE/BOM521174,Arora Fibres Ltd
NSE/ARROWCOAT,Arrow Coated Products Ltd
BSE/BOM516064,Arrow Greentech Ltd
BSE/BOM533068,Arrow Textiles Ltd
BSE/BOM506074,Arshiya Ltd
BSE/BOM533163,Arss Infrastructure Projects Ltd
BSE/BOM517481,Artech Power Products Ltd
BSE/BOM531297,Artefact Projects Ltd
BSE/BOM522134,Artson Engineering Ltd
NSE/ARVINFRA,Arvind Infrastructure Ltd
BSE/BOM524760,Arvind International Ltd
BSE/BOM500101,Arvind Ltd
BSE/BOM531823,Arvind Remedies Ltd
BSE/BOM539301,Arvind Smartspaces Ltd
BSE/BOM538716,Aryaman Capital Markets Ltd
BSE/BOM530245,Aryaman Financial Services Ltd
BSE/BOM515030,Asahi India Glass Ltd
BSE/BOM514482,Asahi Industries Ltd
BSE/BOM512535,Asahi Infrastructure & Projects Ltd
BSE/BOM532853,Asahi Songwon Colors Ltd
BSE/BOM534564,Aseem Global Ltd
BSE/BOM535467,Ashapura Intimates Fashion Ltd
BSE/BOM527001,Ashapura Minechem Ltd
NSE/ASHCONIUL,Ashco Niulab Industries Ltd
BSE/BOM519174,Ashiana Agro Industries Ltd
NSE/ASHIANA,Ashiana Housing Ltd
BSE/BOM513401,Ashiana Ispat Ltd
BSE/BOM590122,Ashika Credit Capital Ltd
BSE/BOM514286,Ashima Ltd
BSE/BOM512247,Ashirwad Capital Ltd
BSE/BOM526847,Ashirwad Steels & Industries Ltd
BSE/BOM530429,Ashish Polyplast Ltd
BSE/BOM507872,Ashnoor Textile Mills Ltd
BSE/BOM524594,Ashok Alco-chem Ltd
BSE/BOM500477,Ashok Leyland Ltd
BSE/BOM533271,Ashoka Buildcon Ltd
BSE/BOM526983,Ashoka Refineries Ltd
BSE/BOM526187,Ashram Onlinecom Ltd
BSE/BOM531568,Ashutosh Paper Mills Ltd
BSE/BOM538777,Asia Capital Ltd
BSE/BOM530899,Asia Pack Ltd
BSE/BOM503940,Asian Electronics Ltd
BSE/BOM531392,Asian Flora Ltd
BSE/BOM532888,Asian Granito India Ltd
BSE/BOM533227,Asian Hotels (east) Ltd
BSE/BOM500023,Asian Hotels (north) Ltd
BSE/BOM533221,Asian Hotels (west) Ltd
BSE/BOM530355,Asian Oilfield Services Ltd
BSE/BOM500820,Asian Paints Ltd
BSE/BOM524434,Asian Petroproducts & Exports Ltd
BSE/BOM531847,Asian Star Coltd
BSE/BOM519532,Asian Tea & Exports Ltd
BSE/BOM506159,Asis Logistics Ltd
BSE/BOM530723,Asit Cmehta Financial Services Ltd
BSE/BOM526433,Asm Technologies Ltd
BSE/BOM500024,Assam Company (india) Ltd
NSE/ASSAMCO,Assam Company India Ltd
BSE/BOM507526,Associated Alcohols & Breweries Ltd
BSE/BOM502015,Associated Stone Industries (kotah) Ltd
BSE/BOM533138,Astec Lifesciences Ltd
NSE/ASTERSILI,Aster Silicates Ltd
BSE/BOM532493,Astra Microwave Products Ltd
BSE/BOM532830,Astral Poly Technik Ltd
BSE/BOM506820,Astrazeneca Pharma India Ltd
BSE/BOM511144,Asya Infosoft Ltd
BSE/BOM530187,Atharv Enterprises Ltd
BSE/BOM539099,Athena Constructions Ltd
BSE/BOM517429,Athena Global Technologies Ltd
BSE/BOM538713,Atishay Ltd
BSE/BOM526843,Atlanta Devcon Ltd
BSE/BOM530479,Atlanta Infrastructure And Finance Ltd
BSE/BOM532759,Atlanta Ltd
BSE/BOM505029,Atlas Cycles (haryana) Ltd
BSE/BOM514394,Atlas Jewellery India Ltd
BSE/BOM511427,Atn International Ltd
NSE/ATULAUTO,Atul Auto Ltd
BSE/BOM500027,Atul Ltd
BSE/BOM500028,Atv Projects India Ltd
BSE/BOM532459,Aunde India Ltd
BSE/BOM502352,Aurangabad Paper Mills Ltd
BSE/BOM532668,Aurionpro Solutions Ltd
BSE/BOM530233,Auro Laboratories Ltd
BSE/BOM524804,Aurobindo Pharma Ltd
BSE/BOM531336,Auroma Coke Ltd
BSE/BOM530885,Aurum Soft Systems Ltd
BSE/BOM509009,Ausom Enterprise Ltd
BSE/BOM522005,Austin Engineering Coltd
BSE/BOM533016,Austral Coke & Projects Ltd
BSE/BOM539177,Authum Investment & Infrastucture Ltd
BSE/BOM532797,Autoline Industries Ltd
BSE/BOM500029,Autolite (india) Ltd
BSE/BOM505036,Automobile Corporation Of Goa Ltd
BSE/BOM505010,Automotive Axles Ltd
BSE/BOM520119,Automotive Stampings & Assemblies Ltd
NSE/ASAL,Automotive Stampings and Assemblies Ltd
BSE/BOM500030,Autoriders Finance Ltd
BSE/BOM512277,Autoriders International Ltd
BSE/BOM531310,Available Finance Ltd
BSE/BOM512149,Avance Technologies Ltd
BSE/BOM532406,Avantel Ltd
NSE/AVANTI,Avanti Feeds Ltd
NSE/AVENTIS,Aventis Pharma Ltd
BSE/BOM523896,Avi Photochem Ltd
BSE/BOM539288,Avi Polymers Ltd
BSE/BOM512109,Aviva Industries Ltd
BSE/BOM532995,Avon Corporation Ltd
BSE/BOM531541,Avon Lifesciences Ltd
BSE/BOM511589,Avonmore Capital & Management Services Ltd
BSE/BOM519105,Avt Natural Products Ltd
BSE/BOM504390,Avtil Enterprise Ltd
BSE/BOM513642,Axel Polymers Ltd
BSE/BOM532215,Axis Bank Ltd
NSE/AXISGOLD,Axis Mutual Fund - Axis Gold ETF
NSE/AXIS_ITT,Axis-IT&T Ltd
BSE/BOM532395,Axiscades Engineering Technologies Ltd
BSE/BOM505506,Axon Ventures Ltd
BSE/BOM523850,Axtel Industries Ltd
BSE/BOM508933,Aym Syntex Ltd
BSE/BOM512063,Ayoki Mercantile Ltd
BSE/BOM531783,Azure Exim Services Ltd
BSE/BOM508136,B & A Ltd
NSE/BLKASHYAP,B L Kashyap and Sons Ltd
BSE/BOM536965,B P Capital Ltd
NSE/BAGFILMS,BAG Films and Media Ltd
BSE/BOM532507,Bagfilms & Media Ltd
BSE/BOM537766,Bc Power Controls Ltd
BSE/BOM532719,Blkashyap And Sons Ltd
BSE/BOM523019,Bnrathi Securities Ltd
BSE/BOM526594,Bnanji Enterprises Ltd
BSE/BOM523186,B&a Packaging India Ltd
BSE/BOM506971,B&b Realty Ltd
BSE/BOM531268,B2b Software Technologies Ltd
BSE/BOM532380,Baba Arts Ltd
BSE/BOM524516,Bacil Pharma Ltd
BSE/BOM532989,Bafna Pharmaceuticals Ltd
BSE/BOM530197,Bagadia Colourchem Ltd
BSE/BOM511724,Baid Leasing And Finance Coltd
BSE/BOM532977,Bajaj Auto Ltd
BSE/BOM533229,Bajaj Corp Ltd
NSE/BAJAJELEC,Bajaj Electricals Ltd
BSE/BOM500034,Bajaj Finance Ltd
BSE/BOM532978,Bajaj Finserv Ltd
BSE/BOM512261,Bajaj Global Ltd
BSE/BOM500032,Bajaj Hindusthan Sugar Ltd
BSE/BOM500490,Bajaj Holdings & Investment Ltd
BSE/BOM507944,Bajaj Steel Industries Ltd
BSE/BOM511139,Bajrang Finance Ltd
BSE/BOM524824,Bal Pharma Ltd
BSE/BOM511395,Bala Techno Global Ltd
BSE/BOM514199,Bala Techno Industries Ltd
NSE/BALAMINES,Balaji Amines Ltd
BSE/BOM532382,Balaji Telefilms Ltd
BSE/BOM513142,Balasore Alloys Ltd
NSE/BALKRISIND,Balkrishna Industries Ltd
BSE/BOM539251,Balkrishna Paper Mills Ltd
BSE/BOM500102,Ballarpur Industries Ltd
BSE/BOM523319,Balmer Lawrie & Coltd
NSE/BALMLAWRIE,Balmer Lawrie & Company Ltd
BSE/BOM532485,Balmer Lawrie Investments Ltd
BSE/BOM500038,Balrampur Chini Mills Ltd
BSE/BOM520127,Balurghat Technologies Ltd
BSE/BOM519295,Bambino Agro Industries Ltd
BSE/BOM531591,Bampsl Securities Ltd
BSE/BOM526849,Banaras Beads Ltd
BSE/BOM509053,Banas Finance Ltd
NSE/BANCOINDIA,Banco Products (I) Ltd
BSE/BOM500039,Banco Products (india) Ltd
BSE/BOM532946,Bang Overseas Ltd
BSE/BOM539120,Bangalore Fort Farms Ltd
BSE/BOM532134,Bank Of Baroda
BSE/BOM532149,Bank Of India
BSE/BOM532525,Bank Of Maharashtra
BSE/BOM532674,Bannari Amman Spinning Mills Ltd
BSE/BOM500041,Bannari Amman Sugars Ltd
BSE/BOM538546,Bansal Roofing Products Ltd
NSE/BANSWRAS,Banswara Syntex Ltd
BSE/BOM532916,Barak Valley Cements Ltd
BSE/BOM513502,Baroda Extrusion Ltd
BSE/BOM532336,Baron Infotech Ltd
BSE/BOM532694,Bartronics India Ltd
BSE/BOM524687,Basant Agro Tech (india) Ltd
BSE/BOM500042,Basf India Ltd
BSE/BOM511210,Basil Infrastructure Projects Ltd
BSE/BOM500043,Bata India Ltd
NSE/BATLIBOI,Batliboi Ltd
BSE/BOM506285,Bayer Cropscience Ltd
BSE/BOM517246,Bcc Fuba India Ltd
BSE/BOM524332,Bcl Industries And Infrastructures Ltd
BSE/BOM524828,Bdh Industries Ltd
BSE/BOM539447,Beardsell Ltd
BSE/BOM531937,Beckons Industries Ltd
BSE/BOM533270,Bedmutha Industries Ltd
BSE/BOM539018,Beekay Steel Industries Ltd
BSE/BOM532645,Beeyu Overseas Ltd
BSE/BOM531112,Bell Agromachina Ltd
NSE/BELLCERATL,Bell Ceramics Ltd
BSE/BOM539399,Bella Casa Fashion & Retail Ltd
BSE/BOM522650,Bemco Hydraulics Ltd
BSE/BOM500048,Beml Ltd
BSE/BOM509438,Benares Hotels Ltd
BSE/BOM533095,Bengal & Assam Company Ltd
BSE/BOM532230,Bengal Tea & Fabrics Ltd
BSE/BOM512195,Bentley Commercial Enterprises Ltd
BSE/BOM524737,Benzo Petro International Ltd
NSE/BERGEPAINT,Berger Paints (I) Ltd
BSE/BOM509480,Berger Paints India Ltd
BSE/BOM531340,Bervin Investment & Leasing Ltd
BSE/BOM524606,Beryl Drugs Ltd
BSE/BOM531582,Beryl Securities Ltd
NSE/BECREL,Best & Crompton Engg Ltd
BSE/BOM500046,Best & Crompton Enggltd
BSE/BOM508664,Best Eastern Hotels Ltd
BSE/BOM538566,Best Steel Logistics Ltd
BSE/BOM531481,Beta-kappa Investments Ltd
BSE/BOM512477,Betex India Ltd
BSE/BOM533303,Bf Investment Ltd
NSE/BFUTILITIE,BF Utilities Ltd
BSE/BOM511664,Bgil Films & Technologies Ltd
BSE/BOM532930,Bgr Energy Systems Ltd
BSE/BOM500051,Bhagawati Gas Ltd
BSE/BOM530803,Bhageria Industries Ltd
BSE/BOM531719,Bhagiradha Chemicals & Industries Ltd
BSE/BOM530095,Bhagwandas Metals Ltd
BSE/BOM504646,Bhagwati Autocast Ltd
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Ltd
BSE/BOM509449,Bhagwati Oxygen Ltd
BSE/BOM512296,Bhagyanagar India Ltd
BSE/BOM511698,Bhagyashree Leasing & Finance Ltd
BSE/BOM501233,Bhagyodaya Infrastructure Development Ltd
BSE/BOM512608,Bhandari Hosiery Exports Ltd
BSE/BOM538576,Bhanderi Infracon Ltd
BSE/BOM534740,Bhanot Construction & Housing Ltd
NSE/BEPL,Bhansali Engineering Polymers Ltd
BSE/BOM531862,Bharat Agri Fert & Realty Ltd
BSE/BOM511501,Bharat Bhushan Share & Commodity Brokers Ltd
NSE/BBL,Bharat Bijlee Ltd
BSE/BOM500049,Bharat Electronics Ltd
BSE/BOM533228,Bharat Financial Inclusion Ltd
BSE/BOM500493,Bharat Forge Ltd
BSE/BOM505688,Bharat Gears Ltd
BSE/BOM500103,Bharat Heavy Electricals Ltd
BSE/BOM524663,Bharat Immunologicals & Biologicals Corporation Ltd
BSE/BOM500547,Bharat Petroleum Corporation Ltd
BSE/BOM590021,Bharat Rasayan Ltd
BSE/BOM523229,Bharat Seats Ltd
BSE/BOM531029,Bharat Textiles & Proofing Industries Ltd
NSE/BHARATWIRE,Bharat Wire Ropes Ltd
NSE/BHARATIDIL,Bharati Defence and Infrastructure Ltd
BSE/BOM532609,Bharati Shipyard Ltd
BSE/BOM533499,Bharatiya Global Infomedia Ltd
BSE/BOM532454,Bharti Airtel Ltd
BSE/BOM534816,Bharti Infratel Ltd
BSE/BOM526666,Bhartiya International Ltd
BSE/BOM518017,Bheema Cements Ltd
BSE/BOM514272,Bhilwara Spinners Ltd
BSE/BOM533108,Bhilwara Technical Textiles Ltd
BSE/BOM530879,Bhilwara Tex-fin Ltd
BSE/BOM506027,Bhoruka Aluminium Ltd
BSE/BOM500055,Bhushan Steel Ltd
BSE/BOM513333,Bhuwalka Steel Industries Ltd
NSE/BIGBLOC,Bigbloc Construction Ltd
BSE/BOM500058,Bihar Sponge Iron Ltd
BSE/BOM512313,Bijlee Textiles Ltd
BSE/BOM524723,Bijoy Hans Ltd
BSE/BOM533321,Bil Energy Systems Ltd
BSE/BOM526853,Bilcare Ltd
NSE/BILPOWER,Bilpower  Ltd
BSE/BOM531590,Bilpower Ltd
NSE/BIMETAL,Bimetal Bearings Ltd
BSE/BOM500059,Binani Industries Ltd
BSE/BOM523054,Binayak Tex Processors Ltd
BSE/BOM514215,Binny Ltd
BSE/BOM535620,Binny Mills Ltd
BSE/BOM534535,Bio Green Papers Ltd
BSE/BOM532523,Biocon Ltd
BSE/BOM524396,Biofil Chemicals & Pharmaceuticals Ltd
BSE/BOM532330,Biopac India Corporation Ltd
BSE/BOM538364,Birdhi Chand Pannalal Agencies Ltd
BSE/BOM500060,Birla Cable Ltd
BSE/BOM512332,Birla Capital & Financial Services Ltd
BSE/BOM500335,Birla Corporation Ltd
BSE/BOM533006,Birla Cotsyn (india) Ltd
NSE/BIRLAERIC,Birla Ericsson Optical Ltd
